roundId,aSeed,bSeed,aName,bName,bScore,aScore,fileName,date,weapon,category,gender
8,8,1,Shayne Pay,Bruce Dawson,15,8,20050410OE,20050410,Epee,Open,
8,5,4,David Brautigan,Stuart Marshall,11,15,20050410OE,20050410,Epee,Open,
8,4,5,Stuart Marshall,David Brautigan,15,11,20050410OE,20050410,Epee,Open,
4,3,2,Rowan Beckworth,Daniel Duffy,15,4,20050410OE,20050410,Epee,Open,
4,2,3,Daniel Duffy,Rowan Beckworth,4,15,20050410OE,20050410,Epee,Open,
8,3,6,Rowan Beckworth,Seri Wilson,8,15,20050410OE,20050410,Epee,Open,
8,6,3,Seri Wilson,Rowan Beckworth,15,8,20050410OE,20050410,Epee,Open,
8,7,2,Brian Grossman,Daniel Duffy,15,10,20050410OE,20050410,Epee,Open,
8,2,7,Daniel Duffy,Brian Grossman,10,15,20050410OE,20050410,Epee,Open,
2,1,2,Adeline Lamy,George McConnell,6,15,20050410OF,20050410,Foil,Open,
2,2,1,George McConnell,Adeline Lamy,15,6,20050410OF,20050410,Foil,Open,
4,1,4,Adeline Lamy,Michael Hoeller,8,15,20050410OF,20050410,Foil,Open,
4,4,1,Michael Hoeller,Adeline Lamy,15,8,20050410OF,20050410,Foil,Open,
8,1,8,Adeline Lamy,Jarrod Rosser,6,15,20050410OF,20050410,Foil,Open,
8,8,1,Jarrod Rosser,Adeline Lamy,15,6,20050410OF,20050410,Foil,Open,
16,9,8,Tim Benveniste,Jarrod Rosser,15,5,20050410OF,20050410,Foil,Open,
16,8,9,Jarrod Rosser,Tim Benveniste,5,15,20050410OF,20050410,Foil,Open,
8,5,4,Shayne Pay,Michael Hoeller,15,3,20050410OF,20050410,Foil,Open,
8,4,5,Michael Hoeller,Shayne Pay,3,15,20050410OF,20050410,Foil,Open,
4,3,2,Rebecca Lloyd,George McConnell,15,13,20050410OF,20050410,Foil,Open,
4,2,3,George McConnell,Rebecca Lloyd,13,15,20050410OF,20050410,Foil,Open,
8,3,6,Rebecca Lloyd,Damien Warman,11,15,20050410OF,20050410,Foil,Open,
8,6,3,Damien Warman,Rebecca Lloyd,15,11,20050410OF,20050410,Foil,Open,
8,7,2,Sam Blackman,George McConnell,15,4,20050410OF,20050410,Foil,Open,
8,2,7,George McConnell,Sam Blackman,4,15,20050410OF,20050410,Foil,Open,
16,7,10,Sam Blackman,Louise LeMottee,2,15,20050410OF,20050410,Foil,Open,
16,10,7,Louise LeMottee,Sam Blackman,15,2,20050410OF,20050410,Foil,Open,
2,1,2,Steven Langsford,Adrian Murphy,11,15,20050507OE,20050507,Epee,Open,
2,2,1,Adrian Murphy,Steven Langsford,15,11,20050507OE,20050507,Epee,Open,
4,1,4,Steven Langsford,Bruce Dawson,14,15,20050507OE,20050507,Epee,Open,
4,4,1,Bruce Dawson,Steven Langsford,15,14,20050507OE,20050507,Epee,Open,
8,1,8,Steven Langsford,David Brautigan,13,15,20050507OE,20050507,Epee,Open,
8,8,1,David Brautigan,Steven Langsford,15,13,20050507OE,20050507,Epee,Open,
16,9,8,Shayne Pay,David Brautigan,15,8,20050507OE,20050507,Epee,Open,
16,8,9,David Brautigan,Shayne Pay,8,15,20050507OE,20050507,Epee,Open,
8,5,4,Daniel Duffy,Bruce Dawson,15,12,20050507OE,20050507,Epee,Open,
8,4,5,Bruce Dawson,Daniel Duffy,12,15,20050507OE,20050507,Epee,Open,
4,3,2,Rowan Beckworth,Adrian Murphy,15,9,20050507OE,20050507,Epee,Open,
4,2,3,Adrian Murphy,Rowan Beckworth,9,15,20050507OE,20050507,Epee,Open,
8,3,6,Stuart Marshall,Rowan Beckworth,15,14,20050507OE,20050507,Epee,Open,
8,6,3,Rowan Beckworth,Stuart Marshall,14,15,20050507OE,20050507,Epee,Open,
8,7,2,Nic Petho,Adrian Murphy,15,8,20050507OE,20050507,Epee,Open,
8,2,7,Adrian Murphy,Nic Petho,8,15,20050507OE,20050507,Epee,Open,
16,7,10,Seri Wilson,Nic Petho,15,10,20050507OE,20050507,Epee,Open,
16,10,7,Nic Petho,Seri Wilson,10,15,20050507OE,20050507,Epee,Open,
2,1,2,Russel Hartup,Damien Warman,15,10,20050507OS,20050507,Sabre,Open,
2,2,1,Damien Warman,Russel Hartup,10,15,20050507OS,20050507,Sabre,Open,
4,1,4,Russel Hartup,Tim Benveniste,6,15,20050507OS,20050507,Sabre,Open,
4,4,1,Tim Benveniste,Russel Hartup,15,6,20050507OS,20050507,Sabre,Open,
4,3,2,Jarrod Rosser,Damien Warman,15,12,20050507OS,20050507,Sabre,Open,
4,2,3,Damien Warman,Jarrod Rosser,12,15,20050507OS,20050507,Sabre,Open,
2,1,2,Jenn Soggee,Shayne Pay,11,15,20050508IE,20050508,Epee,Intermediate,
2,2,1,Shayne Pay,Jenn Soggee,15,11,20050508IE,20050508,Epee,Intermediate,
4,1,4,Jenn Soggee,Meredith Coleman,6,15,20050508IE,20050508,Epee,Intermediate,
4,4,1,Meredith Coleman,Jenn Soggee,15,6,20050508IE,20050508,Epee,Intermediate,
4,3,2,Seri Wilson,Shayne Pay,15,14,20050508IE,20050508,Epee,Intermediate,
4,2,3,Shayne Pay,Seri Wilson,14,15,20050508IE,20050508,Epee,Intermediate,
2,1,2,Shayne Pay,Bill Martin,15,13,20050508IF,20050508,Foil,Intermediate,
2,2,1,Bill Martin,Shayne Pay,13,15,20050508IF,20050508,Foil,Intermediate,
4,1,4,Tim Benveniste,Shayne Pay,15,9,20050508IF,20050508,Foil,Intermediate,
4,4,1,Shayne Pay,Tim Benveniste,9,15,20050508IF,20050508,Foil,Intermediate,
8,5,4,Alean Janovska,Shayne Pay,13,8,20050508IF,20050508,Foil,Intermediate,
8,4,5,Shayne Pay,Alean Janovska,8,13,20050508IF,20050508,Foil,Intermediate,
4,3,2,Meredith Coleman,Bill Martin,15,4,20050508IF,20050508,Foil,Intermediate,
4,2,3,Bill Martin,Meredith Coleman,4,15,20050508IF,20050508,Foil,Intermediate,
8,3,6,Lise Jensen,Meredith Coleman,15,6,20050508IF,20050508,Foil,Intermediate,
8,6,3,Meredith Coleman,Lise Jensen,6,15,20050508IF,20050508,Foil,Intermediate,
2,1,2,Nick Betts,Adeline Lamy,15,13,20050508OF,20050508,Foil,Open,
2,2,1,Adeline Lamy,Nick Betts,13,15,20050508OF,20050508,Foil,Open,
4,1,4,Nick Betts,George McConnell,13,15,20050508OF,20050508,Foil,Open,
4,4,1,George McConnell,Nick Betts,15,13,20050508OF,20050508,Foil,Open,
8,1,8,Nick Betts,Michael Hoeller,8,15,20050508OF,20050508,Foil,Open,
8,8,1,Michael Hoeller,Nick Betts,15,8,20050508OF,20050508,Foil,Open,
16,9,8,Shayne Pay,Michael Hoeller,15,5,20050508OF,20050508,Foil,Open,
16,8,9,Michael Hoeller,Shayne Pay,5,15,20050508OF,20050508,Foil,Open,
8,5,4,Seri Wilson,George McConnell,9,15,20050508OF,20050508,Foil,Open,
8,4,5,George McConnell,Seri Wilson,15,9,20050508OF,20050508,Foil,Open,
16,5,12,Seri Wilson,Russel Hartup,12,15,20050508OF,20050508,Foil,Open,
16,12,5,Russel Hartup,Seri Wilson,15,12,20050508OF,20050508,Foil,Open,
4,3,2,Damien Warman,Adeline Lamy,15,4,20050508OF,20050508,Foil,Open,
4,2,3,Adeline Lamy,Damien Warman,4,15,20050508OF,20050508,Foil,Open,
8,3,6,Damien Warman,Rebecca Lloyd,14,15,20050508OF,20050508,Foil,Open,
8,6,3,Rebecca Lloyd,Damien Warman,15,14,20050508OF,20050508,Foil,Open,
16,11,6,Lise Jensen,Rebecca Lloyd,15,3,20050508OF,20050508,Foil,Open,
16,6,11,Rebecca Lloyd,Lise Jensen,3,15,20050508OF,20050508,Foil,Open,
8,7,2,Lance Holden,Nick Betts,15,2,20050508OF,20050508,Foil,Open,
8,2,7,Nick Betts,Lance Holden,2,15,20050508OF,20050508,Foil,Open,
16,7,10,Sam Addis,Lance Holden,15,14,20050508OF,20050508,Foil,Open,
16,10,7,Lance Holden,Sam Addis,14,15,20050508OF,20050508,Foil,Open,
2,1,2,Bruce Dawson,Adeline Lamy,10,15,20050917OE,20050917,Epee,Open,
2,2,1,Adeline Lamy,Bruce Dawson,15,10,20050917OE,20050917,Epee,Open,
4,1,4,Bruce Dawson,David Brautigan,12,15,20050917OE,20050917,Epee,Open,
4,4,1,David Brautigan,Bruce Dawson,15,12,20050917OE,20050917,Epee,Open,
8,1,8,Bruce Dawson,Kristian Radford,12,15,20050917OE,20050917,Epee,Open,
8,8,1,Kristian Radford,Bruce Dawson,15,12,20050917OE,20050917,Epee,Open,
16,9,8,Kristian Radford,Shayne Pay,12,15,20050917OE,20050917,Epee,Open,
16,8,9,Shayne Pay,Kristian Radford,15,12,20050917OE,20050917,Epee,Open,
8,5,4,David Brautigan,Rowan Beckworth,12,15,20050917OE,20050917,Epee,Open,
8,4,5,Rowan Beckworth,David Brautigan,15,12,20050917OE,20050917,Epee,Open,
16,5,12,Rowena Newcombe,David Brautigan,14,13,20050917OE,20050917,Epee,Open,
16,12,5,David Brautigan,Rowena Newcombe,13,14,20050917OE,20050917,Epee,Open,
16,13,4,Paul Bachman,Rowan Beckworth,15,7,20050917OE,20050917,Epee,Open,
16,4,13,Rowan Beckworth,Paul Bachman,7,15,20050917OE,20050917,Epee,Open,
4,3,2,Adeline Lamy,Tim Ide,9,15,20050917OE,20050917,Epee,Open,
4,2,3,Tim Ide,Adeline Lamy,15,9,20050917OE,20050917,Epee,Open,
8,3,6,Adeline Lamy,Damien Warman,10,15,20050917OE,20050917,Epee,Open,
8,6,3,Damien Warman,Adeline Lamy,15,10,20050917OE,20050917,Epee,Open,
16,11,6,Matilda Menz,Damien Warman,15,12,20050917OE,20050917,Epee,Open,
16,6,11,Damien Warman,Matilda Menz,12,15,20050917OE,20050917,Epee,Open,
8,7,2,Tim Ide,Stuart Marshall,7,15,20050917OE,20050917,Epee,Open,
8,2,7,Stuart Marshall,Tim Ide,15,7,20050917OE,20050917,Epee,Open,
16,7,10,Seri Wilson,Tim Ide,15,7,20050917OE,20050917,Epee,Open,
16,10,7,Tim Ide,Seri Wilson,7,15,20050917OE,20050917,Epee,Open,
2,1,2,Adeline Lamy,Russel Hartup,9,15,20050917OS,20050917,Sabre,Open,
2,2,1,Russel Hartup,Adeline Lamy,15,9,20050917OS,20050917,Sabre,Open,
4,1,4,Adeline Lamy,Stuart Marshall,10,15,20050917OS,20050917,Sabre,Open,
4,4,1,Stuart Marshall,Adeline Lamy,15,10,20050917OS,20050917,Sabre,Open,
8,5,4,Damien Warman,Stuart Marshall,15,14,20050917OS,20050917,Sabre,Open,
8,4,5,Stuart Marshall,Damien Warman,14,15,20050917OS,20050917,Sabre,Open,
4,3,2,Alex Lovell,Russel Hartup,15,9,20050917OS,20050917,Sabre,Open,
4,2,3,Russel Hartup,Alex Lovell,9,15,20050917OS,20050917,Sabre,Open,
8,7,2,Shayne Pay,Russel Hartup,15,10,20050917OS,20050917,Sabre,Open,
8,2,7,Russel Hartup,Shayne Pay,10,15,20050917OS,20050917,Sabre,Open,
2,1,2,Jenn Soggee,Kristian Radford,15,6,20050918IE,20050918,Epee,Intermediate,
2,2,1,Kristian Radford,Jenn Soggee,6,15,20050918IE,20050918,Epee,Intermediate,
4,3,2,Shayne Pay,Kristian Radford,15,6,20050918IE,20050918,Epee,Intermediate,
4,2,3,Kristian Radford,Shayne Pay,6,15,20050918IE,20050918,Epee,Intermediate,
2,1,2,Adeline Lamy,Nick Betts,13,15,20050918OF,20050918,Foil,Open,
2,2,1,Nick Betts,Adeline Lamy,15,13,20050918OF,20050918,Foil,Open,
4,1,4,Adeline Lamy,Stuart Marshall,4,15,20050918OF,20050918,Foil,Open,
4,4,1,Stuart Marshall,Adeline Lamy,15,4,20050918OF,20050918,Foil,Open,
8,1,8,Adeline Lamy,Sam Addis,8,15,20050918OF,20050918,Foil,Open,
8,8,1,Sam Addis,Adeline Lamy,15,8,20050918OF,20050918,Foil,Open,
16,9,8,Sam Addis,Alex Lovell,8,15,20050918OF,20050918,Foil,Open,
16,8,9,Alex Lovell,Sam Addis,15,8,20050918OF,20050918,Foil,Open,
8,5,4,Damien Warman,Stuart Marshall,15,13,20050918OF,20050918,Foil,Open,
8,4,5,Stuart Marshall,Damien Warman,13,15,20050918OF,20050918,Foil,Open,
16,5,12,Damien Warman,Lise Jensen,13,15,20050918OF,20050918,Foil,Open,
16,12,5,Lise Jensen,Damien Warman,15,13,20050918OF,20050918,Foil,Open,
4,3,2,Nick Betts,Kristian Radford,10,15,20050918OF,20050918,Foil,Open,
4,2,3,Kristian Radford,Nick Betts,15,10,20050918OF,20050918,Foil,Open,
8,3,6,Nick Betts,Michael Hoeller,3,15,20050918OF,20050918,Foil,Open,
8,6,3,Michael Hoeller,Nick Betts,15,3,20050918OF,20050918,Foil,Open,
16,11,6,Lara Tutty,Michael Hoeller,15,3,20050918OF,20050918,Foil,Open,
16,6,11,Michael Hoeller,Lara Tutty,3,15,20050918OF,20050918,Foil,Open,
8,7,2,Rebecca Loasby,Kristian Radford,15,14,20050918OF,20050918,Foil,Open,
8,2,7,Kristian Radford,Rebecca Loasby,14,15,20050918OF,20050918,Foil,Open,
16,7,10,Shayne Pay,Rebecca Loasby,15,3,20050918OF,20050918,Foil,Open,
16,10,7,Rebecca Loasby,Shayne Pay,3,15,20050918OF,20050918,Foil,Open,
2,1,2,Luke Edwards,Uschi Menz,4,15,20051016IF,20051016,Foil,Intermediate,
2,2,1,Uschi Menz,Luke Edwards,15,4,20051016IF,20051016,Foil,Intermediate,
4,1,4,Luke Edwards,Steve McClure,9,15,20051016IF,20051016,Foil,Intermediate,
4,4,1,Steve McClure,Luke Edwards,15,9,20051016IF,20051016,Foil,Intermediate,
8,1,8,Luke Edwards,Cailin Wigg,9,15,20051016IF,20051016,Foil,Intermediate,
8,8,1,Cailin Wigg,Luke Edwards,15,9,20051016IF,20051016,Foil,Intermediate,
16,9,8,Cailin Wigg,Ellie Hawes,14,15,20051016IF,20051016,Foil,Intermediate,
16,8,9,Ellie Hawes,Cailin Wigg,15,14,20051016IF,20051016,Foil,Intermediate,
8,5,4,Steve McClure,Shayne Pay,5,15,20051016IF,20051016,Foil,Intermediate,
8,4,5,Shayne Pay,Steve McClure,15,5,20051016IF,20051016,Foil,Intermediate,
4,3,2,Tim Benveniste,Uschi Menz,15,9,20051016IF,20051016,Foil,Intermediate,
4,2,3,Uschi Menz,Tim Benveniste,9,15,20051016IF,20051016,Foil,Intermediate,
8,3,6,Lara Tutty,Tim Benveniste,10,7,20051016IF,20051016,Foil,Intermediate,
8,6,3,Tim Benveniste,Lara Tutty,7,10,20051016IF,20051016,Foil,Intermediate,
8,7,2,Lise Jensen,Uschi Menz,15,5,20051016IF,20051016,Foil,Intermediate,
8,2,7,Uschi Menz,Lise Jensen,5,15,20051016IF,20051016,Foil,Intermediate,
16,7,10,Lise Jensen,Louise LeMottee,7,15,20051016IF,20051016,Foil,Intermediate,
16,10,7,Louise LeMottee,Lise Jensen,15,7,20051016IF,20051016,Foil,Intermediate,
2,1,2,Adeline Lamy,Michael Hoeller,8,15,20051016OF,20051016,Foil,Open,
2,2,1,Michael Hoeller,Adeline Lamy,15,8,20051016OF,20051016,Foil,Open,
4,1,4,Adeline Lamy,George McConnel,8,15,20051016OF,20051016,Foil,Open,
4,4,1,George McConnel,Adeline Lamy,15,8,20051016OF,20051016,Foil,Open,
8,1,8,Adeline Lamy,Lara Tutty,3,15,20051016OF,20051016,Foil,Open,
8,8,1,Lara Tutty,Adeline Lamy,15,3,20051016OF,20051016,Foil,Open,
16,9,8,Louise LeMottee,Lara Tutty,15,6,20051016OF,20051016,Foil,Open,
16,8,9,Lara Tutty,Louise LeMottee,6,15,20051016OF,20051016,Foil,Open,
8,5,4,Shayne Pay,George McConnel,15,6,20051016OF,20051016,Foil,Open,
8,4,5,George McConnel,Shayne Pay,6,15,20051016OF,20051016,Foil,Open,
4,3,2,Michael Hoeller,Lise Jensen,8,15,20051016OF,20051016,Foil,Open,
4,2,3,Lise Jensen,Michael Hoeller,15,8,20051016OF,20051016,Foil,Open,
8,3,6,Michael Hoeller,Alex Lovell,2,15,20051016OF,20051016,Foil,Open,
8,6,3,Alex Lovell,Michael Hoeller,15,2,20051016OF,20051016,Foil,Open,
8,7,2,Lise Jensen,Sam Addis,12,15,20051016OF,20051016,Foil,Open,
8,2,7,Sam Addis,Lise Jensen,15,12,20051016OF,20051016,Foil,Open,
2,1,2,Shayne Pay,Nic Petho,9,10,20051126VE,20051126,Epee,Veterans,
2,2,1,Nic Petho,Shayne Pay,10,9,20051126VE,20051126,Epee,Veterans,
4,1,4,Shayne Pay,Paul Bachman,4,10,20051126VE,20051126,Epee,Veterans,
4,4,1,Paul Bachman,Shayne Pay,10,4,20051126VE,20051126,Epee,Veterans,
4,3,2,Nic Petho,Corraine Sopru,9,10,20051126VE,20051126,Epee,Veterans,
4,2,3,Corraine Sopru,Nic Petho,10,9,20051126VE,20051126,Epee,Veterans,
2,1,2,Rowena Newcombe,Rowan Beckworth,8,15,20051127OE,20051127,Epee,Open,
2,2,1,Rowan Beckworth,Rowena Newcombe,15,8,20051127OE,20051127,Epee,Open,
4,1,4,Bruce Dawson,Rowena Newcombe,15,9,20051127OE,20051127,Epee,Open,
4,4,1,Rowena Newcombe,Bruce Dawson,9,15,20051127OE,20051127,Epee,Open,
8,1,8,Bruce Dawson,Seri Wilson,4,15,20051127OE,20051127,Epee,Open,
8,8,1,Seri Wilson,Bruce Dawson,15,4,20051127OE,20051127,Epee,Open,
16,9,8,Jenn Soggee,Seri Wilson,15,12,20051127OE,20051127,Epee,Open,
16,8,9,Seri Wilson,Jenn Soggee,12,15,20051127OE,20051127,Epee,Open,
8,5,4,Shayne Pay,Rowena Newcombe,15,11,20051127OE,20051127,Epee,Open,
